book_id,category_code,category_name,title,author,status
D000-001,D000,คอมพิวเตอร์ ความรู้ทั่วไป และสารสนเทศ,พื้นฐานการเขียนโปรแกรมด้วย Python,สมชาย วัฒนกิจ,ว่าง
D000-002,D000,คอมพิวเตอร์ ความรู้ทั่วไป และสารสนเทศ,ความรู้เบื้องต้นเกี่ยวกับปัญญาประดิษฐ์,นภา ศรีสุข,ว่าง
D000-003,D000,คอมพิวเตอร์ ความรู้ทั่วไป และสารสนเทศ,ระบบฐานข้อมูลสำหรับผู้เริ่มต้น,วิชัย ไพศาล,ว่าง
D000-004,D000,คอมพิวเตอร์ ความรู้ทั่วไป และสารสนเทศ,เครือข่ายคอมพิวเตอร์และการสื่อสารข้อมูล,ปรีชา แสงทอง,ว่าง
D000-005,D000,คอมพิวเตอร์ ความรู้ทั่วไป และสารสนเทศ,ความมั่นคงปลอดภัยไซเบอร์เบื้องต้น,อรุณี จันทร์เพ็ญ,ว่าง
D000-006,D000,คอมพิวเตอร์ ความรู้ทั่วไป และสารสนเทศ,การจัดการสารสนเทศในยุคดิจิทัล,ธนากร บุญมี,ว่าง
D000-007,D000,คอมพิวเตอร์ ความรู้ทั่วไป และสารสนเทศ,อัลกอริทึมและโครงสร้างข้อมูล,สุรีย์ พงษ์ไพบูลย์,ว่าง
D000-008,D000,คอมพิวเตอร์ ความรู้ทั่วไป และสารสนเทศ,คอมพิวเตอร์กราฟิกเบื้องต้น,กิตติ รุ่งเรือง,ว่าง
D000-009,D000,คอมพิวเตอร์ ความรู้ทั่วไป และสารสนเทศ,การพัฒนาเว็บไซต์สมัยใหม่,มณีรัตน์ ทองดี,ว่าง
D000-010,D000,คอมพิวเตอร์ ความรู้ทั่วไป และสารสนเทศ,ห้องสมุดดิจิทัลและการจัดเก็บข้อมูล,ประยุทธ ศิลปชัย,ว่าง
D000-011,D000,คอมพิวเตอร์ ความรู้ทั่วไป และสารสนเทศ,ความรู้ทั่วไปเกี่ยวกับเทคโนโลยีสารสนเทศ,วราภรณ์ เกษมสุข,ว่าง
D000-012,D000,คอมพิวเตอร์ ความรู้ทั่วไป และสารสนเทศ,คลาวด์คอมพิวติ้งเบื้องต้น,ณัฐพล ชูเกียรติ,ว่าง
D000-013,D000,คอมพิวเตอร์ ความรู้ทั่วไป และสารสนเทศ,การเขียนโปรแกรมเชิงวัตถุ,พิมพ์ใจ วงศ์สกุล,ว่าง
D000-014,D000,คอมพิวเตอร์ ความรู้ทั่วไป และสารสนเทศ,วิทยาการข้อมูลเบื้องต้น,เอกชัย ไตรรัตน์,ว่าง
D000-015,D000,คอมพิวเตอร์ ความรู้ทั่วไป และสารสนเทศ,สารานุกรมความรู้รอบตัว เล่ม 1,กองบรรณาธิการวิชาการ,ว่าง
D100-001,D100,ปรัชญา และจิตวิทยา,ปรัชญากรีกโบราณ,สมพงษ์ ปัญญาดี,ว่าง
D100-002,D100,ปรัชญา และจิตวิทยา,จิตวิทยาเบื้องต้น,รัตนา ใจงาม,ว่าง
D100-003,D100,ปรัชญา และจิตวิทยา,ตรรกศาสตร์และการให้เหตุผล,วิโรจน์ คิดดี,ว่าง
D100-004,D100,ปรัชญา และจิตวิทยา,ปรัชญาตะวันออก,สุนีย์ ธรรมชาติ,ว่าง
D100-005,D100,ปรัชญา และจิตวิทยา,จิตวิทยาการพัฒนาตนเอง,อนุชา เจริญสุข,ว่าง
D100-006,D100,ปรัชญา และจิตวิทยา,ความคิดเชิงวิพากษ์,ปิยะดา สว่างจิต,ว่าง
